date,machine,shift,planned_hrs,actual_hrs,good_units,defect_units,target_units,downtime_min,energy_kwh
2024-01-02,CNC-5,afternoon,8,7.93,112,9,131,14,87.4
2024-01-02,CNC-5,night,8,7.24,172,7,184,21,270.4
2024-01-02,CNC-12,morning,8,7.52,130,8,134,30,136.9
2024-01-02,CNC-12,afternoon,8,7.01,116,7,131,38,219.9
2024-01-02,CNC-12,night,8,6.62,173,7,180,21,84.4
2024-01-02,CNC-1,morning,8,7.54,90,1,92,38,258.6
2024-01-02,CNC-1,afternoon,8,6.68,122,9,133,44,133.2
2024-01-02,CNC-1,night,8,7.16,97,6,101,13,280.0
2024-01-02,CNC-7,morning,8,6.83,156,10,168,20,254.0
2024-01-02,CNC-7,afternoon,8,6.58,76,1,85,29,141.3
2024-01-02,CNC-7,night,8,6.83,159,4,166,36,202.0
2024-01-02,CNC-9,morning,8,7.59,143,1,160,4,227.6
2024-01-02,CNC-9,afternoon,8,7.83,69,4,81,39,233.4
2024-01-02,CNC-9,night,8,6.61,172,6,184,36,220.8
2024-01-02,CNC-19,morning,8,7.47,152,7,159,6,100.1
2024-01-02,CNC-19,afternoon,8,7.71,93,6,96,27,292.1
2024-01-02,CNC-19,night,8,7.44,162,9,167,32,67.8
2024-01-02,CNC-20,morning,8,7.21,163,0,178,12,194.9
2024-01-02,CNC-20,afternoon,8,7.26,102,2,108,40,132.3
2024-01-02,CNC-20,night,8,7.58,122,5,143,6,123.7
2024-01-02,CNC-16,morning,8,7.06,129,4,143,3,64.3
2024-01-02,CNC-16,afternoon,8,7.77,120,1,131,26,248.3
2024-01-02,CNC-16,night,8,6.61,105,8,110,23,61.3
2024-01-02,CNC-4,morning,8,7.6,181,4,198,21,140.6
2024-01-02,CNC-4,afternoon,8,6.97,81,2,93,19,62.3
2024-01-02,CNC-4,night,8,7.22,145,7,151,8,160.4
2024-01-02,CNC-3,morning,8,6.86,190,12,193,19,174.8
2024-01-02,CNC-3,afternoon,8,6.78,136,0,148,16,296.0
2024-01-02,CNC-3,night,8,7.14,146,0,162,30,225.5
2024-01-02,CNC-2,morning,8,6.57,159,11,183,23,210.5
2024-01-02,CNC-2,afternoon,8,7.25,109,2,112,0,139.5
2024-01-02,CNC-2,night,8,7.95,80,4,84,42,116.7
2024-01-02,CNC-13,morning,8,7.67,114,0,123,31,134.3
2024-01-02,CNC-13,afternoon,8,6.82,160,11,179,43,96.7
2024-01-02,CNC-13,night,8,7.68,173,13,190,44,198.1
2024-01-02,CNC-17,morning,8,7.71,107,9,118,43,156.7
2024-01-02,CNC-17,afternoon,8,6.97,94,1,108,21,82.5
2024-01-02,CNC-17,night,8,6.95,117,6,126,5,236.0
2024-01-03,CNC-2,morning,8,6.95,123,7,127,8,124.5
2024-01-03,CNC-2,afternoon,8,7.69,80,2,84,21,184.6
2024-01-03,CNC-2,night,8,6.91,158,10,186,17,97.9
2024-01-03,CNC-17,morning,8,7.24,177,13,199,26,155.0
2024-01-03,CNC-17,afternoon,8,7.56,179,10,190,19,221.5
2024-01-03,CNC-17,night,8,7.85,143,1,154,14,237.6
2024-01-03,CNC-19,morning,8,6.69,160,0,166,27,199.1
2024-01-03,CNC-19,afternoon,8,7.28,78,1,86,1,236.5
2024-01-03,CNC-19,night,8,7.96,93,7,99,33,130.0
2024-01-03,CNC-12,morning,8,7.26,92,4,97,1,260.0
2024-01-03,CNC-12,afternoon,8,7.15,101,1,104,31,70.1
2024-01-03,CNC-12,night,8,7.81,88,2,95,9,69.4
2024-01-03,CNC-9,morning,8,7.63,86,3,95,24,230.7
2024-01-03,CNC-9,afternoon,8,7.69,186,1,193,1,61.4
2024-01-03,CNC-9,night,8,7.84,114,4,122,0,180.5
2024-01-03,CNC-16,morning,8,6.96,123,5,140,1,104.5
2024-01-03,CNC-16,afternoon,8,7.62,116,7,136,28,100.4
2024-01-03,CNC-16,night,8,6.99,92,0,94,11,95.8
2024-01-03,CNC-18,morning,8,7.09,129,2,134,0,206.1
2024-01-03,CNC-18,afternoon,8,6.5,166,10,187,25,70.0
2024-01-03,CNC-18,night,8,6.91,75,4,87,9,249.8
2024-01-03,CNC-14,morning,8,7.16,142,3,149,30,167.4
2024-01-03,CNC-14,afternoon,8,7.81,80,3,93,40,280.1
2024-01-03,CNC-14,night,8,7.89,150,1,168,44,170.4
2024-01-03,CNC-20,morning,8,7.02,82,4,84,41,169.7
2024-01-03,CNC-20,afternoon,8,6.59,142,8,167,45,256.3
2024-01-03,CNC-20,night,8,6.82,170,8,184,9,63.4
2024-01-03,CNC-15,morning,8,7.58,77,2,89,21,60.1
2024-01-03,CNC-15,afternoon,8,7.38,179,7,193,11,66.0
2024-01-03,CNC-15,night,8,6.68,106,4,112,23,296.7
2024-01-03,CNC-11,morning,8,7.06,182,13,189,13,70.6
2024-01-03,CNC-11,afternoon,8,7.39,146,12,151,0,119.0
2024-01-03,CNC-11,night,8,6.69,86,5,90,7,154.8
2024-01-03,CNC-3,morning,8,7.37,109,9,123,8,242.2
2024-01-03,CNC-3,afternoon,8,7.2,177,4,188,18,257.9
2024-01-03,CNC-3,night,8,7.62,143,8,146,3,162.5
2024-01-03,CNC-7,morning,8,7.19,138,0,148,31,63.4
2024-01-03,CNC-7,afternoon,8,7.3,93,8,110,15,204.7
2024-01-03,CNC-7,night,8,6.61,89,2,102,7,208.8
2024-01-03,CNC-10,morning,8,6.55,84,5,97,9,99.0
2024-01-03,CNC-10,afternoon,8,6.97,131,1,147,29,227.5
2024-01-03,CNC-10,night,8,6.54,134,2,152,21,161.9
2024-01-03,CNC-5,morning,8,7.86,127,8,137,22,60.7
2024-01-03,CNC-5,afternoon,8,7.54,154,11,156,31,106.3
2024-01-03,CNC-5,night,8,7.96,110,7,130,7,257.6
2024-01-03,CNC-1,morning,8,7.13,133,3,146,28,297.8
2024-01-03,CNC-1,afternoon,8,6.59,151,4,171,23,168.5
2024-01-03,CNC-1,night,8,6.92,175,14,194,27,219.3
2024-01-03,CNC-8,morning,8,7.82,100,3,116,43,75.1
2024-01-03,CNC-8,afternoon,8,7.09,95,3,102,11,94.4
2024-01-03,CNC-8,night,8,7.66,112,8,118,2,255.9
2024-01-03,CNC-6,morning,8,7.94,106,6,125,28,78.8
2024-01-03,CNC-6,afternoon,8,6.75,148,6,164,34,224.2
2024-01-03,CNC-6,night,8,7.35,138,1,147,2,194.7
2024-01-04,CNC-20,morning,8,7.46,93,7,99,9,82.4
2024-01-04,CNC-20,afternoon,8,6.6,120,1,141,17,127.7
2024-01-04,CNC-20,night,8,7.0,136,5,148,34,273.8
2024-01-04,CNC-16,morning,8,7.86,159,0,167,18,199.7
2024-01-04,CNC-16,afternoon,8,6.86,162,0,164,39,77.1
2024-01-04,CNC-16,night,8,7.69,187,14,193,10,269.0
2024-01-04,CNC-7,morning,8,6.9,135,7,156,22,63.7
2024-01-04,CNC-7,afternoon,8,7.56,104,2,109,44,182.4
2024-01-04,CNC-7,night,8,6.76,115,5,118,43,228.8
2024-01-04,CNC-9,morning,8,6.62,92,7,97,25,205.9
2024-01-04,CNC-9,afternoon,8,6.96,117,3,127,38,291.6
2024-01-04,CNC-9,night,8,7.77,88,6,93,27,124.3
2024-01-04,CNC-6,morning,8,7.3,141,8,149,20,221.3
2024-01-04,CNC-6,afternoon,8,6.64,184,11,199,41,131.8
2024-01-04,CNC-6,night,8,7.1,167,6,188,17,136.6
2024-01-04,CNC-10,morning,8,7.69,177,11,192,10,77.5
2024-01-04,CNC-10,afternoon,8,7.38,81,1,95,3,293.1
2024-01-04,CNC-10,night,8,7.45,148,11,156,36,236.3
2024-01-04,CNC-1,morning,8,7.58,98,3,101,17,76.1
2024-01-04,CNC-1,afternoon,8,7.78,90,2,100,32,203.7
2024-01-04,CNC-1,night,8,7.19,153,5,175,7,203.8
2024-01-04,CNC-5,morning,8,7.38,151,11,171,26,292.2
2024-01-04,CNC-5,afternoon,8,7.66,118,9,131,31,98.3
2024-01-04,CNC-5,night,8,6.91,123,4,128,4,169.6
2024-01-04,CNC-19,morning,8,6.73,122,10,130,21,166.9
2024-01-04,CNC-19,afternoon,8,7.99,134,9,137,16,195.5
2024-01-04,CNC-19,night,8,7.74,75,2,86,32,213.3
2024-01-04,CNC-14,morning,8,7.44,120,1,141,26,242.3
2024-01-04,CNC-14,afternoon,8,6.92,119,1,140,9,297.2
2024-01-04,CNC-14,night,8,6.94,126,1,133,30,104.3
2024-01-04,CNC-12,morning,8,7.8,97,7,106,6,103.4
2024-01-04,CNC-12,afternoon,8,6.54,176,2,180,40,293.8
2024-01-04,CNC-12,night,8,7.89,107,3,125,9,158.0
2024-01-04,CNC-8,morning,8,7.94,136,10,149,12,245.5
2024-01-04,CNC-8,afternoon,8,7.63,123,7,128,19,90.2
2024-01-04,CNC-8,night,8,7.19,112,2,131,6,205.8
2024-01-04,CNC-4,morning,8,6.63,148,1,167,25,210.9
2024-01-04,CNC-4,afternoon,8,6.51,148,6,162,33,184.4
2024-01-04,CNC-4,night,8,7.62,137,3,156,40,70.4
2024-01-04,CNC-2,morning,8,6.54,109,4,113,43,176.2
2024-01-04,CNC-2,afternoon,8,6.92,84,0,94,13,74.1
2024-01-04,CNC-2,night,8,7.55,125,10,127,33,292.9
2024-01-04,CNC-15,morning,8,7.22,163,7,181,19,172.3
2024-01-04,CNC-15,afternoon,8,7.23,157,6,174,39,121.2
2024-01-04,CNC-15,night,8,7.83,160,4,183,17,204.0
2024-01-04,CNC-17,morning,8,7.21,124,7,128,9,138.7
2024-01-04,CNC-17,afternoon,8,7.63,175,5,184,43,229.6
2024-01-04,CNC-17,night,8,6.71,113,0,127,21,296.9
2024-01-04,CNC-13,morning,8,6.87,91,2,104,20,76.9
2024-01-04,CNC-13,afternoon,8,6.64,133,3,154,45,207.4
2024-01-04,CNC-13,night,8,6.61,123,3,133,6,229.5
2024-01-04,CNC-11,morning,8,7.05,135,8,156,21,58.7
2024-01-04,CNC-11,afternoon,8,7.62,78,5,90,39,59.2
2024-01-04,CNC-11,night,8,6.88,171,2,190,22,71.8
2024-01-04,CNC-3,morning,8,7.76,121,8,126,24,95.5
2024-01-04,CNC-3,afternoon,8,6.7,189,1,196,0,176.4
2024-01-04,CNC-3,night,8,6.61,123,11,144,11,203.0
2024-01-05,CNC-4,morning,8,7.58,117,8,126,24,138.7
2024-01-05,CNC-4,afternoon,8,7.07,151,11,154,37,281.3
2024-01-05,CNC-4,night,8,7.73,80,4,87,11,117.0
2024-01-05,CNC-20,morning,8,6.59,163,12,182,0,278.5
2024-01-05,CNC-20,afternoon,8,7.06,129,0,135,30,286.8
2024-01-05,CNC-20,night,8,6.75,95,8,106,20,163.5
2024-01-05,CNC-19,morning,8,7.06,106,2,124,22,256.0
2024-01-05,CNC-19,afternoon,8,7.26,150,8,162,19,180.6
2024-01-05,CNC-19,night,8,6.66,130,4,150,5,260.0
2024-01-05,CNC-6,morning,8,6.96,164,14,189,5,258.1
2024-01-05,CNC-6,afternoon,8,7.94,164,6,175,14,105.5
2024-01-05,CNC-6,night,8,7.85,148,12,174,30,137.0
2024-01-05,CNC-15,morning,8,7.06,120,4,128,39,101.0
2024-01-05,CNC-15,afternoon,8,7.74,175,6,189,12,58.2
2024-01-05,CNC-15,night,8,6.62,165,14,185,12,87.2
2024-01-05,CNC-10,morning,8,7.09,87,0,91,19,193.5
2024-01-05,CNC-10,afternoon,8,6.61,127,9,149,19,117.6
2024-01-05,CNC-10,night,8,7.39,102,2,105,4,275.6
2024-01-05,CNC-9,morning,8,7.68,129,1,135,23,201.4
2024-01-05,CNC-9,afternoon,8,6.9,87,6,100,15,180.5
2024-01-05,CNC-9,night,8,7.45,119,1,128,26,200.2
2024-01-05,CNC-12,morning,8,7.88,172,9,193,5,110.6
2024-01-05,CNC-12,afternoon,8,7.95,83,1,93,4,212.1
2024-01-05,CNC-12,night,8,7.95,77,5,90,35,207.3
2024-01-05,CNC-5,morning,8,6.91,150,13,174,16,251.3
2024-01-05,CNC-5,afternoon,8,6.82,112,2,118,16,193.9
2024-01-05,CNC-5,night,8,7.59,179,12,200,7,98.3
2024-01-05,CNC-1,morning,8,7.46,114,6,119,12,190.6
2024-01-05,CNC-1,afternoon,8,7.34,169,5,184,27,128.4
2024-01-05,CNC-1,night,8,7.37,179,9,186,4,260.0
2024-01-05,CNC-17,morning,8,6.83,139,10,157,45,194.2
2024-01-05,CNC-17,afternoon,8,7.56,73,3,85,8,289.8
2024-01-05,CNC-17,night,8,7.54,87,7,94,22,57.4
2024-01-05,CNC-14,morning,8,7.24,182,6,193,15,188.4
2024-01-05,CNC-14,afternoon,8,7.33,110,8,124,44,138.5
2024-01-05,CNC-14,night,8,7.73,125,7,139,28,216.5
2024-01-05,CNC-3,morning,8,7.17,91,8,105,24,163.2
2024-01-05,CNC-3,afternoon,8,7.69,155,6,170,20,274.7
2024-01-05,CNC-3,night,8,6.97,95,0,105,3,122.2
2024-01-05,CNC-18,morning,8,7.9,124,5,130,39,66.0
2024-01-05,CNC-18,afternoon,8,7.9,153,11,166,9,159.9
2024-01-05,CNC-18,night,8,7.67,178,14,182,21,63.3
2024-01-05,CNC-2,morning,8,7.83,86,2,100,5,204.2
2024-01-05,CNC-2,afternoon,8,7.22,151,2,156,14,224.1
2024-01-05,CNC-2,night,8,7.34,87,2,99,12,297.8
2024-01-06,CNC-5,morning,8,6.79,112,4,116,17,270.7
2024-01-06,CNC-5,afternoon,8,7.58,175,6,196,42,257.8
2024-01-06,CNC-5,night,8,6.69,148,7,160,3,139.4
2024-01-06,CNC-2,morning,8,7.62,181,1,196,22,167.1
2024-01-06,CNC-2,afternoon,8,7.73,116,9,122,41,262.1
2024-01-06,CNC-2,night,8,7.54,93,8,109,44,90.4
2024-01-06,CNC-15,morning,8,7.7,183,11,186,8,272.5
2024-01-06,CNC-15,afternoon,8,7.48,184,5,196,13,110.9
2024-01-06,CNC-15,night,8,6.83,82,1,90,24,93.0
2024-01-06,CNC-4,morning,8,7.04,122,0,124,37,178.6
2024-01-06,CNC-4,afternoon,8,7.31,118,1,136,4,105.9
2024-01-06,CNC-4,night,8,6.81,147,7,150,40,260.1
2024-01-06,CNC-6,morning,8,7.54,99,2,103,31,115.5
2024-01-06,CNC-6,afternoon,8,7.07,76,0,81,44,107.3
2024-01-06,CNC-6,night,8,7.0,175,11,181,23,271.0
2024-01-06,CNC-3,morning,8,7.66,143,5,163,29,210.5
2024-01-06,CNC-3,afternoon,8,7.65,83,4,85,45,183.9
2024-01-06,CNC-3,night,8,7.32,90,6,96,0,242.3
2024-01-06,CNC-12,morning,8,7.68,166,12,184,1,155.7
2024-01-06,CNC-12,afternoon,8,7.48,142,9,152,1,245.9
2024-01-06,CNC-12,night,8,7.34,161,7,189,6,269.9
2024-01-06,CNC-17,morning,8,6.85,82,0,85,1,130.1
2024-01-06,CNC-17,afternoon,8,7.5,165,5,191,8,287.4
2024-01-06,CNC-17,night,8,7.39,94,1,96,7,288.2
2024-01-06,CNC-1,morning,8,7.21,118,4,133,30,70.9
2024-01-06,CNC-1,afternoon,8,6.53,99,1,115,10,199.9
2024-01-06,CNC-1,night,8,6.95,153,8,170,25,273.4
2024-01-06,CNC-18,morning,8,6.51,92,3,103,26,249.2
2024-01-06,CNC-18,afternoon,8,7.89,99,1,106,33,117.6
2024-01-06,CNC-18,night,8,7.32,175,7,182,30,166.2
2024-01-06,CNC-16,morning,8,7.89,177,1,191,43,196.4
2024-01-06,CNC-16,afternoon,8,6.57,155,2,163,0,286.6
2024-01-06,CNC-16,night,8,7.32,128,5,130,30,103.2
2024-01-06,CNC-13,morning,8,7.42,115,2,127,35,130.4
2024-01-06,CNC-13,afternoon,8,7.01,87,1,90,22,185.9
2024-01-06,CNC-13,night,8,7.77,77,0,83,0,108.9
2024-01-06,CNC-14,morning,8,6.58,123,5,135,34,60.2
2024-01-06,CNC-14,afternoon,8,7.19,182,7,199,31,163.9
2024-01-06,CNC-14,night,8,7.08,164,10,180,40,274.7
2024-01-06,CNC-8,morning,8,6.84,91,5,106,33,267.8
2024-01-06,CNC-8,afternoon,8,6.92,117,4,131,41,179.3
2024-01-06,CNC-8,night,8,7.23,131,7,146,44,107.0
2024-01-06,CNC-9,morning,8,7.72,124,4,140,14,105.6
2024-01-06,CNC-9,afternoon,8,6.8,164,3,169,16,238.7
2024-01-06,CNC-9,night,8,6.86,91,1,98,5,193.1
2024-01-06,CNC-19,morning,8,7.37,174,8,179,45,154.6
2024-01-06,CNC-19,afternoon,8,6.68,89,3,92,31,141.0
2024-01-06,CNC-19,night,8,7.36,133,11,144,11,58.4
2024-01-06,CNC-20,morning,8,7.26,175,5,192,12,190.5
2024-01-06,CNC-20,afternoon,8,7.77,153,2,178,25,289.5
2024-01-06,CNC-20,night,8,7.12,118,9,126,1,65.2
2024-01-07,CNC-1,morning,8,6.75,168,9,181,36,207.0
2024-01-07,CNC-1,afternoon,8,7.77,135,0,142,12,106.8
2024-01-07,CNC-1,night,8,7.09,153,2,179,33,102.0
2024-01-07,CNC-8,morning,8,7.09,161,12,166,2,152.6
2024-01-07,CNC-8,afternoon,8,6.88,173,1,188,3,237.5
2024-01-07,CNC-8,night,8,7.86,113,3,129,23,81.1
2024-01-07,CNC-17,morning,8,7.65,70,4,80,19,256.9
2024-01-07,CNC-17,afternoon,8,7.79,80,0,85,12,266.7
2024-01-07,CNC-17,night,8,7.72,75,2,86,9,92.4
2024-01-07,CNC-20,morning,8,7.14,115,1,122,35,215.4
2024-01-07,CNC-20,afternoon,8,7.75,103,5,117,24,134.8
2024-01-07,CNC-20,night,8,6.93,110,4,116,26,225.0
2024-01-07,CNC-4,morning,8,7.56,183,11,192,23,155.3
2024-01-07,CNC-4,afternoon,8,7.11,70,1,80,25,262.8
2024-01-07,CNC-4,night,8,7.58,96,5,111,30,126.7
2024-01-07,CNC-3,morning,8,7.55,142,6,155,18,209.0
2024-01-07,CNC-3,afternoon,8,7.77,93,6,106,3,119.5
2024-01-07,CNC-3,night,8,7.64,81,0,87,5,88.4
2024-01-07,CNC-2,morning,8,6.56,131,4,138,13,168.5
2024-01-07,CNC-2,afternoon,8,7.37,105,8,124,18,100.0
2024-01-07,CNC-2,night,8,6.84,172,3,199,41,251.6
2024-01-07,CNC-13,morning,8,7.54,79,3,85,35,90.7
2024-01-07,CNC-13,afternoon,8,7.38,128,7,149,43,293.1
2024-01-07,CNC-13,night,8,7.01,100,7,116,16,298.7
2024-01-07,CNC-10,morning,8,6.51,113,7,120,30,172.7
2024-01-07,CNC-10,afternoon,8,6.53,86,0,96,44,189.8
2024-01-07,CNC-10,night,8,7.35,150,7,163,35,161.2
2024-01-07,CNC-15,morning,8,7.9,126,7,130,16,216.3
2024-01-07,CNC-15,afternoon,8,6.71,123,3,138,5,145.7
2024-01-07,CNC-15,night,8,7.0,164,7,180,2,157.7
2024-01-07,CNC-5,morning,8,7.43,142,11,152,23,137.8
2024-01-07,CNC-5,afternoon,8,7.49,99,2,116,35,204.9
2024-01-07,CNC-5,night,8,6.68,88,5,99,15,248.1
2024-01-07,CNC-12,morning,8,6.58,165,10,182,0,90.7
2024-01-07,CNC-12,afternoon,8,6.59,107,4,119,23,129.2
2024-01-07,CNC-12,night,8,7.44,86,7,89,21,129.5
2024-01-07,CNC-7,morning,8,7.13,127,9,145,42,276.6
2024-01-07,CNC-7,afternoon,8,7.77,113,9,124,23,209.7
2024-01-07,CNC-7,night,8,7.54,169,11,195,25,159.8
2024-01-07,CNC-6,morning,8,7.68,73,2,80,17,211.6
2024-01-07,CNC-6,afternoon,8,7.56,157,12,173,19,291.3
2024-01-07,CNC-6,night,8,7.13,125,7,141,37,53.1
2024-01-07,CNC-14,morning,8,7.16,177,13,194,34,187.0
2024-01-07,CNC-14,afternoon,8,7.7,173,11,176,17,260.0
2024-01-07,CNC-14,night,8,7.85,141,11,154,23,159.4
2024-01-07,CNC-19,morning,8,6.73,165,2,175,35,298.6
2024-01-07,CNC-19,afternoon,8,7.55,75,1,83,45,104.0
2024-01-07,CNC-19,night,8,6.91,182,13,193,9,228.6
2024-01-07,CNC-18,morning,8,6.82,133,8,139,35,63.3
2024-01-07,CNC-18,afternoon,8,6.62,164,6,170,29,145.5
2024-01-07,CNC-18,night,8,7.84,120,10,138,40,55.9
2024-01-07,CNC-16,morning,8,7.66,183,7,189,38,61.3
2024-01-07,CNC-16,afternoon,8,7.93,87,4,91,20,57.8
2024-01-07,CNC-16,night,8,6.76,117,4,135,19,50.0
2024-01-07,CNC-9,morning,8,6.8,135,7,159,8,269.3
2024-01-07,CNC-9,afternoon,8,7.55,89,4,100,14,63.3
2024-01-07,CNC-9,night,8,7.4,140,10,155,42,254.2
2024-01-07,CNC-11,morning,8,7.52,127,2,148,12,282.2
2024-01-07,CNC-11,afternoon,8,7.96,129,2,139,43,175.7
2024-01-07,CNC-11,night,8,7.41,150,5,154,21,145.6
2024-01-08,CNC-5,morning,8,6.55,148,4,156,37,241.7
2024-01-08,CNC-5,afternoon,8,7.93,89,4,91,33,276.8
2024-01-08,CNC-5,night,8,7.24,175,2,194,11,241.9
2024-01-08,CNC-13,morning,8,7.91,153,2,163,29,90.9
2024-01-08,CNC-13,afternoon,8,6.79,140,10,144,4,119.1
2024-01-08,CNC-13,night,8,7.36,136,12,152,25,137.5
2024-01-08,CNC-1,morning,8,7.34,101,3,104,11,184.5
2024-01-08,CNC-1,afternoon,8,7.87,110,7,127,16,206.5
2024-01-08,CNC-1,night,8,7.22,120,1,132,41,200.9
2024-01-08,CNC-4,morning,8,7.93,102,6,104,35,87.2
2024-01-08,CNC-4,afternoon,8,6.83,126,0,137,35,226.7
2024-01-08,CNC-4,night,8,6.82,138,7,152,40,195.7
2024-01-08,CNC-15,morning,8,7.26,168,4,196,37,72.3
2024-01-08,CNC-15,afternoon,8,7.26,117,8,125,24,107.5
2024-01-08,CNC-15,night,8,7.07,130,6,143,37,247.9
2024-01-08,CNC-19,morning,8,7.04,107,3,112,7,77.2
2024-01-08,CNC-19,afternoon,8,7.57,79,5,85,34,298.4
2024-01-08,CNC-19,night,8,6.71,176,0,183,41,112.8
2024-01-08,CNC-6,morning,8,7.4,137,5,147,31,54.9
2024-01-08,CNC-6,afternoon,8,7.83,131,5,146,27,112.6
2024-01-08,CNC-6,night,8,7.66,168,4,186,11,221.9
2024-01-08,CNC-10,morning,8,7.82,169,12,186,19,149.5
2024-01-08,CNC-10,afternoon,8,6.88,149,10,176,34,259.2
2024-01-08,CNC-10,night,8,7.52,140,0,152,28,184.3
2024-01-08,CNC-8,morning,8,6.61,175,2,199,10,120.8
2024-01-08,CNC-8,afternoon,8,7.52,163,10,171,37,286.6
