shipment_id,product,carrier,origin,destination,ship_date,est_delivery,actual_delivery,weight_kg,cost_usd,status
SH-00124,Gadget-X,UPS,Mumbai,Toronto,2023-10-30,2023-11-12,2023-11-19,269.9,4857.88,delivered
SH-00125,Assembly-Z,Maersk,London,London,2024-06-27,2024-07-16,2024-07-16,373.4,1703.5,delivered
SH-00126,Part-Y,Blue Dart,Tokyo,Singapore,2023-04-28,2023-05-15,2023-05-15,490.0,4836.84,delivered
SH-00127,Widget-A,DHL,Sao Paulo,New York,2024-07-24,2024-08-07,2024-08-07,227.7,3369.05,delivered
SH-00128,Motor-K,FedEx,Tokyo,Los Angeles,2024-11-19,2024-11-30,2024-12-03,236.0,3103.44,delivered
SH-00129,Widget-B,Blue Dart,London,Sydney,2024-07-28,2024-08-10,2024-08-13,454.7,1521.42,delivered
SH-00130,Widget-A,DHL,Chicago,New York,2024-02-23,2024-02-29,2024-02-29,49.0,4437.99,delivered
SH-00131,Sensor-L,USPS,Tokyo,Singapore,2023-05-19,2023-06-03,2023-06-04,77.7,2083.2,delivered
SH-00132,Sensor-L,DHL,Shanghai,Singapore,2023-04-12,2023-05-11,2023-05-12,185.6,2225.26,delayed
SH-00133,Motor-K,USPS,Tokyo,London,2023-08-30,2023-09-29,2023-09-29,30.7,1390.27,delivered
SH-00134,Part-Y,Blue Dart,Tokyo,Dubai,2023-05-06,2023-06-05,2023-06-06,485.6,267.13,delivered
SH-00135,Part-Y,FedEx,London,Toronto,2023-12-08,2023-12-18,2023-12-18,277.3,2938.12,delayed
SH-00136,Widget-A,DHL,London,Los Angeles,2023-08-27,2023-09-09,2023-09-19,493.8,2707.97,delivered
SH-00137,Gadget-X,FedEx,Berlin,Toronto,2023-06-28,2023-07-04,2023-07-09,394.3,2950.43,delivered
SH-00138,Gadget-X,Blue Dart,Chicago,Dubai,2023-01-17,2023-01-25,2023-01-25,57.3,331.84,delivered
SH-00139,Widget-B,Maersk,Sao Paulo,Los Angeles,2024-04-04,2024-05-01,2024-05-01,472.7,231.17,in_transit
SH-00140,Widget-A,FedEx,Chicago,Toronto,2024-11-05,2024-11-24,2024-11-24,201.1,3435.2,delivered
SH-00141,Widget-B,DHL,Sao Paulo,Los Angeles,2024-05-17,2024-06-11,2024-06-12,33.3,1385.95,delivered
SH-00142,Sensor-L,USPS,Sao Paulo,London,2024-10-10,2024-10-31,2024-11-02,227.1,3033.05,delivered
SH-00143,Part-Y,Maersk,Chicago,Los Angeles,2023-04-12,2023-05-10,2023-05-17,207.2,4139.68,delivered
SH-00144,Motor-K,Maersk,Berlin,Singapore,2024-02-13,2024-02-29,2024-03-07,127.8,4768.66,delivered
SH-00145,Widget-B,FedEx,Chicago,New York,2024-12-04,2024-12-22,2024-12-22,372.4,1872.64,delivered
SH-00146,Motor-K,Blue Dart,Shanghai,Sydney,2023-05-14,2023-06-03,2023-06-03,177.1,3331.72,delayed
SH-00147,Assembly-Z,USPS,Berlin,London,2024-03-09,2024-04-08,2024-04-15,52.2,2544.45,delivered
SH-00148,Widget-B,DHL,London,Dubai,2023-06-08,2023-07-02,2023-07-03,184.1,3816.59,delivered
SH-00149,Widget-A,USPS,Tokyo,Toronto,2024-08-10,2024-08-20,2024-08-30,346.9,159.33,delivered
SH-00150,Motor-K,DHL,Shanghai,Los Angeles,2023-10-07,2023-11-01,2023-11-11,435.0,2838.11,delivered
SH-00151,Widget-B,Blue Dart,Sao Paulo,Los Angeles,2024-02-15,2024-02-20,2024-02-20,188.4,2276.42,delivered
SH-00152,Widget-B,FedEx,Mumbai,Los Angeles,2023-06-11,2023-06-25,2023-06-25,377.3,263.07,delivered
SH-00153,Valve-M,USPS,Chicago,Sydney,2023-03-25,2023-04-05,2023-04-06,136.9,3778.39,delivered
SH-00154,Assembly-Z,Blue Dart,Tokyo,Dubai,2023-04-27,2023-05-11,2023-05-11,243.6,3340.66,delivered
SH-00155,Widget-A,FedEx,Mumbai,London,2023-02-16,2023-02-26,2023-02-26,472.7,3840.24,delayed
SH-00156,Widget-A,Maersk,Tokyo,Sydney,2023-09-19,2023-10-01,2023-10-01,88.3,1910.33,delivered
SH-00157,Motor-K,FedEx,Chicago,Toronto,2024-12-21,2024-12-31,2025-01-02,371.1,2189.55,in_transit
SH-00158,Sensor-L,USPS,Chicago,Singapore,2024-04-15,2024-04-20,2024-04-20,320.3,1458.23,delayed
SH-00159,Valve-M,Blue Dart,Berlin,New York,2024-02-19,2024-02-22,2024-02-22,218.6,542.73,delivered
SH-00160,Widget-B,Maersk,London,London,2024-03-22,2024-04-12,2024-04-12,373.0,1119.54,in_transit
SH-00161,Part-Y,DHL,Berlin,Singapore,2023-06-22,2023-06-27,2023-06-29,479.1,3232.53,delivered
SH-00162,Assembly-Z,UPS,Mumbai,Dubai,2023-06-01,2023-06-11,2023-06-11,76.9,3799.37,delivered
SH-00163,Valve-M,USPS,London,Dubai,2023-03-19,2023-03-27,2023-04-06,224.7,4621.91,delivered
SH-00164,Motor-K,Blue Dart,Berlin,Los Angeles,2024-08-01,2024-08-24,2024-08-29,220.2,2352.57,delayed
SH-00165,Widget-A,DHL,Sao Paulo,New York,2024-10-08,2024-10-20,2024-10-30,155.5,2267.79,delivered
SH-00166,Widget-B,USPS,Sao Paulo,Dubai,2023-02-28,2023-03-14,2023-03-14,192.5,2907.94,delivered
SH-00167,Part-Y,DHL,Sao Paulo,Sydney,2023-02-12,2023-03-01,2023-03-11,250.9,4789.25,delayed
SH-00168,Widget-B,USPS,Tokyo,Los Angeles,2024-04-06,2024-04-12,2024-04-22,20.1,3542.49,delivered
SH-00169,Gadget-X,DHL,Berlin,London,2024-03-25,2024-04-13,2024-04-15,194.0,3875.71,delayed
SH-00170,Widget-B,DHL,Shanghai,Dubai,2024-11-26,2024-12-18,2024-12-18,339.4,1431.47,delivered
SH-00171,Widget-B,USPS,Tokyo,Los Angeles,2024-11-03,2024-11-25,2024-11-25,458.4,1561.51,delivered
SH-00172,Gadget-X,USPS,Tokyo,New York,2024-11-02,2024-11-27,2024-12-02,155.1,1892.75,delivered
SH-00173,Widget-B,Blue Dart,Tokyo,Sydney,2023-12-03,2024-01-01,2024-01-01,254.5,105.88,in_transit
SH-00174,Valve-M,UPS,Mumbai,Los Angeles,2023-11-13,2023-11-21,2023-11-21,77.9,1489.52,delivered
SH-00175,Widget-A,Blue Dart,Berlin,Toronto,2023-04-14,2023-05-03,2023-05-13,309.2,2992.27,in_transit
SH-00176,Gadget-X,Blue Dart,Chicago,New York,2023-06-07,2023-06-15,2023-06-15,205.7,3386.67,delayed
SH-00177,Valve-M,UPS,Sao Paulo,Los Angeles,2023-09-01,2023-09-18,2023-09-21,155.1,4045.99,delivered
SH-00178,Valve-M,Maersk,London,London,2024-04-25,2024-05-24,2024-05-24,389.2,2521.99,delivered
SH-00179,Gadget-X,DHL,Shanghai,Singapore,2024-03-04,2024-03-12,2024-03-12,240.6,1865.49,delayed
SH-00180,Assembly-Z,FedEx,London,Los Angeles,2023-04-16,2023-05-11,2023-05-13,136.8,4527.95,delivered
SH-00181,Part-Y,Maersk,Berlin,New York,2023-05-31,2023-06-29,2023-06-29,207.7,1991.32,delivered
SH-00182,Motor-K,UPS,Shanghai,London,2024-01-18,2024-01-28,2024-01-28,465.4,4198.29,delivered
SH-00183,Gadget-X,FedEx,Berlin,Toronto,2024-10-27,2024-11-09,2024-11-19,236.5,4158.09,delivered
SH-00184,Widget-A,FedEx,Shanghai,London,2024-12-23,2025-01-10,2025-01-11,108.2,760.36,delayed
SH-00185,Assembly-Z,UPS,Berlin,New York,2024-09-15,2024-10-04,2024-10-04,24.4,2107.83,delivered
SH-00186,Valve-M,USPS,Sao Paulo,New York,2024-09-29,2024-10-16,2024-10-16,316.2,2881.61,delivered
SH-00187,Motor-K,UPS,Sao Paulo,Sydney,2023-05-28,2023-06-09,2023-06-09,94.1,3346.05,delivered
SH-00188,Widget-A,Maersk,London,Sydney,2024-06-20,2024-07-04,2024-07-04,22.2,1943.6,in_transit
SH-00189,Motor-K,FedEx,Berlin,Los Angeles,2024-01-18,2024-01-29,2024-02-05,366.6,3146.86,delivered
SH-00190,Gadget-X,FedEx,Berlin,Dubai,2024-08-18,2024-09-13,2024-09-23,169.6,3219.34,delivered
SH-00191,Gadget-X,UPS,Shanghai,Singapore,2024-12-02,2024-12-19,2024-12-26,388.2,2296.53,delivered
SH-00192,Widget-A,DHL,Berlin,Dubai,2023-10-28,2023-11-06,2023-11-06,199.4,4079.8,delivered
SH-00193,Assembly-Z,DHL,London,Toronto,2024-04-29,2024-05-10,2024-05-10,24.4,3283.82,delivered
SH-00194,Sensor-L,Maersk,Tokyo,Sydney,2023-10-07,2023-10-13,2023-10-23,447.4,1942.42,delivered
SH-00195,Motor-K,USPS,Berlin,Toronto,2023-07-11,2023-07-29,2023-08-05,41.8,2131.13,delivered
SH-00196,Assembly-Z,DHL,Shanghai,New York,2024-03-16,2024-04-07,2024-04-07,164.3,1488.77,in_transit
SH-00197,Gadget-X,Blue Dart,Chicago,London,2024-04-01,2024-04-23,2024-04-30,223.8,3638.17,delivered
SH-00198,Widget-A,FedEx,Tokyo,Singapore,2023-12-28,2024-01-19,2024-01-19,203.4,2572.73,delivered
SH-00199,Valve-M,FedEx,Mumbai,New York,2024-11-26,2024-12-04,2024-12-04,118.4,3231.14,delivered
SH-00200,Gadget-X,Blue Dart,Chicago,London,2024-01-06,2024-01-21,2024-01-24,186.3,3818.98,delivered
SH-00201,Sensor-L,DHL,Tokyo,London,2024-08-10,2024-08-17,2024-08-19,125.2,580.54,delivered
SH-00202,Widget-B,DHL,London,London,2023-07-10,2023-07-28,2023-07-30,352.2,1084.63,delivered
SH-00203,Part-Y,FedEx,Mumbai,Toronto,2024-09-18,2024-09-30,2024-10-07,37.5,875.69,delivered
SH-00204,Motor-K,Blue Dart,Shanghai,Dubai,2024-12-31,2025-01-17,2025-01-17,271.3,4458.29,delivered
SH-00205,Motor-K,USPS,Mumbai,New York,2023-06-11,2023-07-06,2023-07-13,492.6,3963.45,delivered
SH-00206,Motor-K,USPS,Sao Paulo,London,2023-08-31,2023-09-28,2023-09-29,234.0,4915.31,delivered
SH-00207,Assembly-Z,Maersk,Tokyo,Singapore,2023-05-13,2023-06-04,2023-06-04,239.6,2062.81,delivered
SH-00208,Gadget-X,DHL,Tokyo,New York,2024-02-24,2024-03-24,2024-03-27,225.3,3405.34,delivered
SH-00209,Gadget-X,UPS,Chicago,Dubai,2023-12-19,2023-12-26,2024-01-05,455.4,291.23,in_transit
SH-00210,Gadget-X,UPS,Berlin,Singapore,2023-05-08,2023-05-27,2023-05-27,113.1,4738.2,delivered
SH-00211,Part-Y,Blue Dart,Sao Paulo,London,2024-06-15,2024-06-27,2024-06-27,63.0,1524.58,delivered
SH-00212,Gadget-X,UPS,Tokyo,Dubai,2024-06-30,2024-07-05,2024-07-07,360.5,3031.62,delivered
SH-00213,Widget-A,Blue Dart,London,Dubai,2024-07-31,2024-08-04,2024-08-04,132.7,1065.88,delivered
SH-00214,Valve-M,Blue Dart,Sao Paulo,London,2024-08-08,2024-08-24,2024-08-27,321.1,1520.94,delivered
SH-00215,Assembly-Z,Maersk,Shanghai,Singapore,2023-09-08,2023-10-06,2023-10-16,30.4,2206.43,delivered
SH-00216,Gadget-X,DHL,London,Singapore,2024-05-10,2024-05-27,2024-05-27,160.0,4940.3,delivered
SH-00217,Widget-B,DHL,Mumbai,Sydney,2023-12-20,2024-01-04,2024-01-04,61.7,2256.24,delivered
SH-00218,Sensor-L,USPS,Chicago,Los Angeles,2023-05-25,2023-05-31,2023-05-31,481.4,4513.02,delivered
SH-00219,Part-Y,UPS,Chicago,Dubai,2023-12-02,2023-12-23,2023-12-30,233.7,4397.19,delivered
SH-00220,Valve-M,UPS,Mumbai,Dubai,2024-05-24,2024-05-27,2024-05-27,176.8,266.94,delivered
SH-00221,Assembly-Z,USPS,Shanghai,Toronto,2024-05-21,2024-06-12,2024-06-17,54.2,682.67,delivered
SH-00222,Motor-K,FedEx,Chicago,New York,2023-09-28,2023-10-24,2023-10-24,285.4,985.36,delivered
SH-00223,Valve-M,USPS,Berlin,Toronto,2024-07-20,2024-08-01,2024-08-01,494.6,3406.79,delivered
SH-00224,Motor-K,DHL,Sao Paulo,London,2023-05-02,2023-05-09,2023-05-09,377.6,1007.3,delivered
SH-00225,Widget-A,FedEx,Mumbai,Singapore,2024-06-05,2024-06-20,2024-06-22,166.9,2376.61,delivered
SH-00226,Gadget-X,DHL,Sao Paulo,London,2024-04-12,2024-04-19,2024-04-22,81.7,4953.22,in_transit
