review_id,product,category,rating,sentiment,review_date,helpful_votes,verified_purchase,review_length
R-000062,Product-C6,Software,1,negative,2023-07-26,43,Yes,50
R-000063,Product-B10,Sports,5,positive,2022-07-23,35,No,52
R-000064,Product-B1,Books,5,positive,2023-10-02,37,No,318
R-000065,Product-C8,Software,4,positive,2022-10-25,9,Yes,107
R-000066,Product-C8,Electronics,5,positive,2024-09-14,17,Yes,404
R-000067,Product-B7,Sports,4,positive,2023-07-28,4,Yes,324
R-000068,Product-C1,Home,4,positive,2023-01-31,25,Yes,493
R-000069,Product-B8,Sports,5,positive,2022-12-02,41,No,103
R-000070,Product-D6,Sports,5,positive,2024-09-17,30,No,424
R-000071,Product-A5,Home,4,positive,2024-05-26,23,No,430
R-000072,Product-E8,Electronics,2,negative,2024-12-30,31,Yes,470
R-000073,Product-E9,Home,5,positive,2022-05-17,32,Yes,67
R-000074,Product-B2,Sports,5,positive,2023-04-26,29,Yes,181
R-000075,Product-D7,Books,3,neutral,2023-10-23,3,Yes,403
R-000076,Product-A6,Sports,3,neutral,2023-11-25,9,Yes,456
R-000077,Product-E7,Electronics,5,positive,2024-10-28,42,Yes,357
R-000078,Product-B6,Software,4,positive,2023-04-29,28,Yes,387
R-000079,Product-A1,Books,5,positive,2024-07-11,45,Yes,413
R-000080,Product-C5,Electronics,5,positive,2022-07-06,32,Yes,70
R-000081,Product-D6,Electronics,1,negative,2024-04-21,18,No,339
R-000082,Product-E7,Books,5,positive,2023-07-10,16,Yes,188
R-000083,Product-C10,Books,4,positive,2023-04-22,17,Yes,265
R-000084,Product-A8,Sports,5,positive,2022-11-28,27,No,333
R-000085,Product-E4,Sports,1,negative,2022-10-19,39,No,137
R-000086,Product-D9,Sports,5,positive,2022-01-26,0,Yes,179
R-000087,Product-B9,Software,4,positive,2023-06-09,7,Yes,139
R-000088,Product-D1,Software,5,positive,2023-09-21,30,No,118
R-000089,Product-D1,Electronics,3,neutral,2024-10-15,1,Yes,442
R-000090,Product-B2,Books,4,positive,2024-04-09,16,Yes,397
R-000091,Product-C7,Books,5,positive,2024-11-10,43,Yes,434
R-000092,Product-C5,Books,5,positive,2023-07-08,32,No,221
R-000093,Product-C9,Sports,3,neutral,2024-09-26,35,Yes,299
R-000094,Product-A9,Sports,4,positive,2023-02-02,20,Yes,474
R-000095,Product-A10,Sports,4,positive,2023-08-18,32,Yes,332
R-000096,Product-A10,Sports,3,neutral,2022-12-17,16,Yes,110
R-000097,Product-D5,Home,5,positive,2023-01-22,32,No,196
R-000098,Product-A10,Sports,5,positive,2024-12-02,37,Yes,354
R-000099,Product-D4,Software,5,positive,2022-10-26,10,Yes,354
R-000100,Product-D8,Software,5,positive,2023-08-15,7,Yes,53
R-000101,Product-D2,Electronics,3,neutral,2024-06-26,27,No,112
R-000102,Product-C10,Software,3,neutral,2024-11-03,25,No,74
R-000103,Product-C3,Books,4,positive,2024-02-05,20,Yes,179
R-000104,Product-A6,Books,5,positive,2022-12-28,36,Yes,316
R-000105,Product-E5,Electronics,4,positive,2024-01-21,1,Yes,421
R-000106,Product-A7,Electronics,5,positive,2024-03-26,17,No,457
R-000107,Product-C2,Home,4,positive,2022-04-17,46,Yes,169
R-000108,Product-D3,Software,1,negative,2023-02-07,31,No,406
R-000109,Product-A8,Software,5,positive,2022-03-10,25,Yes,25
R-000110,Product-C6,Software,3,neutral,2024-08-31,17,Yes,373
R-000111,Product-E10,Software,5,positive,2024-10-06,7,Yes,271
R-000112,Product-A4,Software,5,positive,2024-01-15,17,Yes,409
R-000113,Product-C4,Electronics,4,positive,2024-01-22,29,Yes,290
R-000114,Product-B9,Books,5,positive,2023-02-23,32,Yes,319
R-000115,Product-B5,Books,2,negative,2024-06-04,46,Yes,200
R-000116,Product-E7,Home,5,positive,2022-11-20,44,Yes,207
R-000117,Product-B6,Electronics,4,positive,2023-07-31,22,Yes,29
R-000118,Product-D3,Sports,4,positive,2024-12-26,18,Yes,241
R-000119,Product-A9,Electronics,4,positive,2022-08-19,22,Yes,213
R-000120,Product-E9,Electronics,3,neutral,2024-05-25,16,Yes,330
R-000121,Product-D4,Books,2,negative,2024-10-20,22,No,291
R-000122,Product-D9,Home,5,positive,2023-04-25,36,Yes,63
R-000123,Product-A10,Books,5,positive,2023-09-01,19,Yes,333
R-000124,Product-E5,Sports,5,positive,2023-03-01,35,Yes,356
R-000125,Product-C9,Books,3,neutral,2023-01-04,39,Yes,499
R-000126,Product-B1,Home,5,positive,2022-10-22,31,Yes,251
R-000127,Product-A6,Sports,2,negative,2023-02-08,19,Yes,124
R-000128,Product-A9,Electronics,5,positive,2024-04-25,23,Yes,423
R-000129,Product-D6,Sports,2,negative,2023-01-20,38,Yes,168
R-000130,Product-B9,Home,4,positive,2023-01-21,33,Yes,286
R-000131,Product-D4,Sports,5,positive,2022-09-02,35,Yes,111
R-000132,Product-A4,Electronics,5,positive,2022-04-12,1,Yes,118
R-000133,Product-B5,Software,5,positive,2022-09-02,0,No,415
R-000134,Product-E10,Sports,2,negative,2023-02-20,24,No,169
R-000135,Product-A7,Software,5,positive,2024-09-07,15,Yes,451
R-000136,Product-C9,Software,4,positive,2023-06-22,32,Yes,208
R-000137,Product-E10,Sports,5,positive,2024-09-06,15,Yes,250
R-000138,Product-C1,Electronics,5,positive,2024-12-27,34,Yes,151
R-000139,Product-D10,Home,5,positive,2022-09-12,11,Yes,365
R-000140,Product-A1,Books,5,positive,2024-02-24,15,Yes,61
R-000141,Product-C9,Home,4,positive,2024-06-04,45,Yes,48
R-000142,Product-A9,Software,5,positive,2022-04-29,16,No,179
R-000143,Product-C4,Books,4,positive,2022-07-31,41,Yes,34
R-000144,Product-D1,Electronics,3,neutral,2022-11-15,19,Yes,84
R-000145,Product-E10,Electronics,5,positive,2024-03-02,36,Yes,153
R-000146,Product-C10,Books,3,neutral,2024-07-05,10,No,400
R-000147,Product-C6,Electronics,4,positive,2023-09-11,44,No,270
R-000148,Product-A3,Electronics,5,positive,2022-02-06,50,Yes,375
R-000149,Product-B7,Electronics,3,neutral,2022-10-11,44,Yes,428
R-000150,Product-B1,Sports,3,neutral,2023-08-20,35,Yes,260
R-000151,Product-E10,Home,5,positive,2023-01-26,14,Yes,69
R-000152,Product-D1,Books,4,positive,2024-04-12,33,Yes,121
R-000153,Product-E3,Home,4,positive,2023-03-19,22,Yes,98
R-000154,Product-D5,Software,4,positive,2022-11-11,43,Yes,494
R-000155,Product-E8,Software,4,positive,2024-08-24,30,Yes,315
R-000156,Product-C5,Sports,4,positive,2023-08-02,3,No,306
R-000157,Product-C10,Books,5,positive,2024-05-12,46,Yes,108
R-000158,Product-D7,Home,5,positive,2024-04-20,47,Yes,467
R-000159,Product-D6,Electronics,4,positive,2022-11-03,9,Yes,48
R-000160,Product-E7,Books,5,positive,2024-07-01,25,Yes,257
R-000161,Product-C7,Books,3,neutral,2024-05-06,11,Yes,375
R-000162,Product-C4,Software,1,negative,2022-01-29,34,Yes,262
R-000163,Product-C8,Electronics,5,positive,2023-10-25,46,Yes,223
R-000164,Product-D9,Books,5,positive,2023-08-04,38,No,171
R-000165,Product-A5,Software,3,neutral,2023-07-15,31,No,454
R-000166,Product-E9,Sports,4,positive,2022-11-02,15,Yes,100
R-000167,Product-E2,Sports,4,positive,2022-09-18,42,No,496
R-000168,Product-C3,Software,4,positive,2024-04-24,45,Yes,431
R-000169,Product-E1,Software,5,positive,2022-07-31,22,Yes,214
R-000170,Product-B1,Books,5,positive,2023-02-07,25,Yes,39
R-000171,Product-C1,Electronics,4,positive,2022-08-04,32,Yes,462
R-000172,Product-D2,Software,3,neutral,2024-11-26,31,Yes,436
R-000173,Product-C6,Sports,3,neutral,2024-08-13,17,Yes,432
R-000174,Product-C9,Books,3,neutral,2022-05-14,32,No,22
R-000175,Product-D7,Sports,5,positive,2023-05-21,45,No,35
R-000176,Product-B4,Books,2,negative,2022-05-01,31,Yes,400
R-000177,Product-D5,Sports,5,positive,2024-02-26,50,Yes,368
R-000178,Product-C5,Electronics,2,negative,2022-03-27,30,Yes,80
R-000179,Product-E1,Books,5,positive,2023-09-05,23,Yes,170
R-000180,Product-B3,Electronics,2,negative,2024-11-14,35,Yes,207
R-000181,Product-B2,Books,5,positive,2024-06-06,37,Yes,419
R-000182,Product-A1,Home,5,positive,2024-05-21,46,No,300
R-000183,Product-A7,Software,3,neutral,2022-06-14,5,Yes,250
R-000184,Product-D1,Software,4,positive,2022-10-29,40,Yes,184
R-000185,Product-E7,Software,5,positive,2024-03-21,39,Yes,365
R-000186,Product-A8,Home,5,positive,2023-05-05,22,Yes,230
R-000187,Product-A9,Books,4,positive,2022-06-02,27,No,234
R-000188,Product-E10,Electronics,5,positive,2024-07-11,16,Yes,117
R-000189,Product-E8,Sports,5,positive,2022-03-25,34,Yes,41
R-000190,Product-A7,Software,1,negative,2023-11-21,17,Yes,245
R-000191,Product-A1,Home,4,positive,2022-07-27,6,Yes,349
R-000192,Product-A5,Software,1,negative,2024-08-08,1,No,177
R-000193,Product-A1,Electronics,5,positive,2023-06-23,40,Yes,314
R-000194,Product-B2,Books,5,positive,2022-10-30,36,Yes,206
R-000195,Product-A7,Electronics,2,negative,2024-04-06,4,Yes,87
R-000196,Product-C2,Books,5,positive,2024-09-02,15,Yes,268
R-000197,Product-A4,Electronics,4,positive,2023-03-26,0,Yes,385
R-000198,Product-B2,Electronics,4,positive,2023-05-18,0,Yes,455
R-000199,Product-B7,Books,4,positive,2024-12-08,14,Yes,231
R-000200,Product-A2,Electronics,3,neutral,2022-12-08,43,No,256
R-000201,Product-C6,Electronics,3,neutral,2024-08-15,6,Yes,443
R-000202,Product-B7,Books,4,positive,2022-09-08,4,Yes,408
R-000203,Product-E1,Home,5,positive,2022-08-06,10,No,57
R-000204,Product-D5,Sports,5,positive,2022-07-29,44,Yes,41
R-000205,Product-A4,Home,2,negative,2023-07-17,45,No,301
R-000206,Product-B5,Books,3,neutral,2024-07-28,24,No,78
R-000207,Product-E3,Home,5,positive,2024-01-18,34,Yes,274
R-000208,Product-E7,Home,5,positive,2023-12-16,45,Yes,179
R-000209,Product-B8,Books,5,positive,2022-03-28,14,Yes,86
R-000210,Product-A6,Sports,5,positive,2024-03-01,47,No,130
R-000211,Product-A5,Software,4,positive,2024-02-01,12,No,269
R-000212,Product-D9,Home,4,positive,2023-08-22,40,Yes,350
R-000213,Product-E8,Electronics,5,positive,2022-02-05,35,Yes,477
R-000214,Product-B3,Home,2,negative,2024-04-10,6,Yes,28
R-000215,Product-D4,Electronics,5,positive,2022-12-02,21,Yes,449
R-000216,Product-D2,Electronics,5,positive,2022-05-06,19,Yes,490
R-000217,Product-E1,Software,5,positive,2022-03-28,31,No,485
R-000218,Product-E8,Software,4,positive,2023-08-16,32,Yes,375
R-000219,Product-E2,Books,5,positive,2023-01-13,12,Yes,232
R-000220,Product-D3,Sports,5,positive,2022-09-15,25,Yes,391
R-000221,Product-B3,Books,4,positive,2023-04-11,14,No,453
R-000222,Product-B10,Electronics,4,positive,2023-05-02,35,No,492
R-000223,Product-D10,Electronics,4,positive,2024-01-27,47,Yes,29
R-000224,Product-D3,Sports,3,neutral,2024-01-08,0,Yes,92
R-000225,Product-E1,Software,4,positive,2023-05-23,0,Yes,233
R-000226,Product-D1,Books,5,positive,2024-02-23,14,No,86
R-000227,Product-B10,Sports,4,positive,2023-11-25,19,Yes,473
R-000228,Product-C9,Home,5,positive,2022-02-10,18,Yes,379
R-000229,Product-D9,Home,4,positive,2022-02-22,24,Yes,224
R-000230,Product-A4,Books,5,positive,2024-11-08,7,No,54
R-000231,Product-B6,Home,5,positive,2023-10-31,22,Yes,406
R-000232,Product-E6,Books,3,neutral,2023-06-20,43,Yes,393
R-000233,Product-D10,Books,4,positive,2022-09-15,34,No,416
R-000234,Product-B10,Sports,5,positive,2024-10-02,41,No,272
R-000235,Product-C8,Electronics,5,positive,2023-12-18,26,Yes,200
R-000236,Product-A3,Books,4,positive,2024-12-16,37,Yes,426
R-000237,Product-E2,Electronics,5,positive,2023-04-19,49,Yes,488
R-000238,Product-D8,Software,5,positive,2024-11-15,48,Yes,499
R-000239,Product-A3,Sports,5,positive,2023-08-06,4,Yes,425
R-000240,Product-D10,Books,5,positive,2022-06-02,37,Yes,276
R-000241,Product-D1,Software,5,positive,2024-11-12,13,No,134
R-000242,Product-E2,Software,5,positive,2024-08-30,33,No,392
R-000243,Product-B9,Sports,4,positive,2024-06-27,27,Yes,495
R-000244,Product-C5,Electronics,5,positive,2023-04-10,5,Yes,95
R-000245,Product-A10,Books,3,neutral,2024-01-06,8,Yes,285
R-000246,Product-C5,Software,4,positive,2024-07-24,29,Yes,472
R-000247,Product-A1,Sports,4,positive,2024-07-09,13,Yes,365
R-000248,Product-E3,Books,2,negative,2023-11-07,50,Yes,78
R-000249,Product-C5,Books,5,positive,2023-09-22,41,No,21
R-000250,Product-D6,Home,5,positive,2023-12-06,37,Yes,236
R-000251,Product-A7,Books,1,negative,2022-12-10,3,No,23
R-000252,Product-E2,Books,4,positive,2024-02-19,6,Yes,431
R-000253,Product-E6,Books,4,positive,2023-01-14,24,Yes,34
R-000254,Product-E6,Home,5,positive,2022-08-28,6,No,245
R-000255,Product-C1,Books,3,neutral,2022-11-13,37,Yes,209
R-000256,Product-C5,Sports,5,positive,2022-04-04,28,Yes,459
R-000257,Product-C7,Sports,5,positive,2024-03-22,24,Yes,186
R-000258,Product-D3,Home,1,negative,2022-05-12,3,No,392
R-000259,Product-B1,Sports,2,negative,2023-07-09,21,Yes,250
R-000260,Product-E8,Books,5,positive,2022-05-01,23,Yes,83
R-000261,Product-E1,Sports,5,positive,2022-02-08,11,Yes,337
R-000262,Product-E8,Home,3,neutral,2023-02-17,0,Yes,181
R-000263,Product-B10,Software,4,positive,2023-04-30,4,Yes,92
R-000264,Product-E6,Books,5,positive,2024-03-12,30,Yes,67
R-000265,Product-C8,Home,5,positive,2022-07-01,25,Yes,336
R-000266,Product-A5,Home,5,positive,2022-04-12,38,Yes,388
R-000267,Product-B6,Electronics,4,positive,2023-02-18,20,Yes,167
R-000268,Product-E10,Books,3,neutral,2024-09-01,11,Yes,155
R-000269,Product-A8,Books,4,positive,2022-10-15,49,Yes,378
R-000270,Product-B9,Electronics,5,positive,2022-07-27,33,Yes,162
R-000271,Product-E1,Home,5,positive,2023-03-05,46,Yes,91
R-000272,Product-C2,Sports,5,positive,2024-08-03,20,Yes,62
R-000273,Product-B1,Home,4,positive,2022-12-17,45,No,473
R-000274,Product-E9,Electronics,4,positive,2024-02-09,44,No,93
R-000275,Product-B9,Sports,5,positive,2022-05-28,22,Yes,421
R-000276,Product-D10,Books,5,positive,2024-07-25,18,Yes,171
R-000277,Product-E10,Home,3,neutral,2023-10-05,37,No,39
R-000278,Product-E1,Electronics,5,positive,2023-08-10,31,Yes,29
R-000279,Product-E5,Books,4,positive,2022-08-11,48,Yes,349
R-000280,Product-B6,Electronics,5,positive,2023-09-20,30,Yes,140
R-000281,Product-E10,Sports,4,positive,2024-09-14,40,No,48
R-000282,Product-A10,Sports,4,positive,2023-07-30,11,No,207
R-000283,Product-E3,Home,5,positive,2023-04-28,1,Yes,131
R-000284,Product-D10,Books,4,positive,2024-04-21,27,Yes,226
R-000285,Product-E6,Software,5,positive,2023-06-04,18,Yes,322
R-000286,Product-A3,Electronics,1,negative,2022-06-06,14,Yes,391
R-000287,Product-E4,Home,3,neutral,2024-06-11,22,Yes,425
R-000288,Product-C5,Home,4,positive,2024-05-17,49,Yes,216
R-000289,Product-A1,Sports,5,positive,2024-11-27,12,No,212
R-000290,Product-C7,Software,4,positive,2023-06-01,33,No,498
R-000291,Product-A3,Sports,4,positive,2024-06-23,44,Yes,231
R-000292,Product-E3,Sports,1,negative,2023-06-04,24,Yes,388
R-000293,Product-D8,Sports,5,positive,2024-07-06,23,Yes,476
R-000294,Product-D3,Software,4,positive,2024-05-30,11,Yes,483
R-000295,Product-E2,Books,3,neutral,2023-08-05,18,Yes,154
R-000296,Product-B2,Home,5,positive,2023-02-13,5,Yes,107
R-000297,Product-D8,Home,4,positive,2023-04-10,46,No,106
R-000298,Product-E9,Electronics,4,positive,2024-06-20,22,Yes,145
R-000299,Product-D4,Sports,5,positive,2023-01-12,22,No,53
R-000300,Product-A3,Software,5,positive,2024-03-16,1,Yes,42
R-000301,Product-D8,Software,3,neutral,2023-04-23,22,Yes,205
R-000302,Product-C10,Home,5,positive,2022-10-03,6,Yes,228
R-000303,Product-B6,Home,3,neutral,2023-09-06,27,No,378
R-000304,Product-C7,Sports,3,neutral,2022-04-26,11,Yes,330
R-000305,Product-A2,Books,5,positive,2022-02-18,35,No,238
R-000306,Product-B3,Books,4,positive,2024-10-05,44,No,222
R-000307,Product-E2,Software,3,neutral,2024-08-24,9,Yes,413
R-000308,Product-C5,Home,5,positive,2024-01-10,31,Yes,438
R-000309,Product-C6,Books,4,positive,2022-03-24,8,Yes,360
R-000310,Product-D9,Books,4,positive,2022-11-10,0,No,456
R-000311,Product-B3,Home,2,negative,2022-09-30,44,Yes,493
R-000312,Product-B7,Software,5,positive,2023-03-14,14,Yes,77
R-000313,Product-A5,Books,4,positive,2024-12-17,36,Yes,55
R-000314,Product-C1,Sports,5,positive,2022-03-15,23,Yes,75
R-000315,Product-E9,Software,5,positive,2022-02-11,1,Yes,28
R-000316,Product-B2,Software,4,positive,2024-05-28,48,Yes,68
R-000317,Product-D6,Software,5,positive,2022-02-25,39,Yes,254
R-000318,Product-E5,Electronics,5,positive,2024-09-08,9,Yes,401
R-000319,Product-B6,Electronics,4,positive,2024-02-23,31,No,375
R-000320,Product-B5,Sports,5,positive,2023-01-30,1,No,111
R-000321,Product-B8,Sports,5,positive,2022-10-01,25,Yes,210
R-000322,Product-B7,Electronics,5,positive,2023-05-05,35,Yes,166
R-000323,Product-E10,Home,4,positive,2022-07-23,21,Yes,74
R-000324,Product-D1,Electronics,5,positive,2022-01-08,38,Yes,404
R-000325,Product-D9,Electronics,5,positive,2024-04-27,44,Yes,94
R-000326,Product-C4,Electronics,3,neutral,2024-07-26,13,Yes,165
R-000327,Product-D10,Software,4,positive,2023-01-09,31,Yes,77
R-000328,Product-B3,Software,5,positive,2024-07-08,26,Yes,259
R-000329,Product-C8,Books,5,positive,2022-06-17,49,Yes,282
R-000330,Product-A4,Home,2,negative,2023-07-05,36,Yes,226
R-000331,Product-C1,Books,5,positive,2024-12-14,5,Yes,262
R-000332,Product-D6,Sports,2,negative,2022-08-15,15,Yes,173
R-000333,Product-A7,Electronics,5,positive,2022-12-18,30,No,262
R-000334,Product-B4,Home,4,positive,2024-04-10,23,Yes,450
R-000335,Product-A2,Electronics,4,positive,2024-03-22,34,Yes,180
R-000336,Product-C4,Sports,5,positive,2023-03-30,9,Yes,184
R-000337,Product-D7,Electronics,4,positive,2024-11-14,30,No,288
R-000338,Product-B4,Home,5,positive,2024-07-07,1,No,169
R-000339,Product-C5,Books,5,positive,2022-08-06,29,Yes,448
R-000340,Product-C3,Sports,5,positive,2023-01-20,28,No,153
R-000341,Product-E3,Sports,4,positive,2023-09-25,36,Yes,485
R-000342,Product-D4,Electronics,4,positive,2024-05-09,27,Yes,467
R-000343,Product-D3,Sports,4,positive,2023-09-21,39,Yes,58
R-000344,Product-D10,Software,4,positive,2024-06-22,19,No,88
R-000345,Product-C7,Books,4,positive,2023-06-30,18,Yes,442
R-000346,Product-C4,Software,5,positive,2022-06-23,34,Yes,267
R-000347,Product-C1,Sports,1,negative,2024-03-02,40,Yes,48
R-000348,Product-E5,Home,4,positive,2023-06-24,18,Yes,158
R-000349,Product-E2,Software,5,positive,2024-05-01,30,Yes,29
R-000350,Product-A10,Software,4,positive,2022-07-29,45,No,451
R-000351,Product-B4,Sports,2,negative,2024-02-12,37,Yes,141
R-000352,Product-A1,Sports,4,positive,2022-07-23,35,Yes,228
R-000353,Product-B7,Electronics,5,positive,2022-01-26,5,No,459
R-000354,Product-A9,Home,3,neutral,2024-01-16,18,Yes,209
R-000355,Product-E10,Home,3,neutral,2024-08-02,44,Yes,173
R-000356,Product-B4,Home,3,neutral,2022-02-27,45,Yes,321
R-000357,Product-B3,Electronics,4,positive,2022-02-01,32,Yes,238
R-000358,Product-A9,Home,5,positive,2022-08-06,21,No,421
R-000359,Product-E3,Sports,1,negative,2024-05-11,28,Yes,256
R-000360,Product-E3,Home,5,positive,2024-09-16,48,Yes,405
R-000361,Product-C1,Software,4,positive,2023-12-04,7,Yes,318
R-000362,Product-A6,Electronics,3,neutral,2024-11-01,25,Yes,251
R-000363,Product-C1,Sports,5,positive,2022-07-23,30,No,270
R-000364,Product-C9,Sports,4,positive,2023-10-02,48,Yes,196
R-000365,Product-E8,Electronics,3,neutral,2022-02-11,26,Yes,178
R-000366,Product-E5,Electronics,4,positive,2024-02-06,32,No,65
R-000367,Product-B6,Software,1,negative,2022-02-12,6,Yes,451
R-000368,Product-B1,Books,3,neutral,2022-04-23,17,Yes,143
R-000369,Product-B5,Electronics,4,positive,2023-06-23,34,Yes,125
R-000370,Product-D6,Software,4,positive,2024-02-04,38,Yes,371
R-000371,Product-D4,Home,5,positive,2023-11-25,17,Yes,369
R-000372,Product-C8,Home,5,positive,2024-01-16,47,Yes,330
R-000373,Product-B9,Electronics,4,positive,2022-04-25,3,Yes,493
R-000374,Product-D7,Home,5,positive,2022-09-21,9,Yes,61
R-000375,Product-C4,Sports,5,positive,2022-04-19,44,Yes,455
R-000376,Product-B1,Sports,4,positive,2022-05-04,15,No,74
R-000377,Product-D6,Home,4,positive,2024-02-12,15,No,177
R-000378,Product-D7,Electronics,4,positive,2022-11-25,12,Yes,292
R-000379,Product-C8,Software,1,negative,2022-12-04,14,Yes,457
R-000380,Product-D9,Software,5,positive,2023-06-24,19,No,165
R-000381,Product-E8,Sports,4,positive,2023-01-16,49,No,93
R-000382,Product-C9,Software,4,positive,2023-06-19,2,Yes,92
R-000383,Product-B1,Electronics,5,positive,2022-06-20,1,Yes,248
R-000384,Product-E1,Home,1,negative,2023-08-25,20,Yes,66
R-000385,Product-A8,Books,3,neutral,2023-06-12,13,Yes,476
R-000386,Product-E5,Sports,5,positive,2022-01-28,41,Yes,208
R-000387,Product-C9,Sports,5,positive,2024-04-04,47,Yes,187
R-000388,Product-E1,Electronics,5,positive,2023-03-30,33,Yes,364
R-000389,Product-D1,Electronics,5,positive,2023-06-08,46,Yes,70
R-000390,Product-B5,Software,3,neutral,2023-04-30,35,Yes,477
R-000391,Product-C2,Home,4,positive,2023-04-20,3,Yes,272
R-000392,Product-E5,Software,4,positive,2024-11-05,50,Yes,298
R-000393,Product-E3,Books,4,positive,2024-11-01,26,Yes,365
R-000394,Product-D5,Books,5,positive,2024-08-26,24,Yes,249
R-000395,Product-E4,Sports,4,positive,2024-01-29,14,Yes,174
R-000396,Product-D2,Books,2,negative,2023-05-04,43,Yes,277
R-000397,Product-C4,Software,2,negative,2023-09-29,42,Yes,288
R-000398,Product-B5,Books,3,neutral,2022-07-18,27,No,242
R-000399,Product-D6,Books,4,positive,2022-10-10,0,Yes,112
R-000400,Product-B4,Books,5,positive,2022-02-18,41,Yes,257
R-000401,Product-B9,Sports,5,positive,2024-08-27,24,Yes,94
R-000402,Product-D3,Sports,4,positive,2023-04-29,47,No,479
R-000403,Product-B10,Sports,4,positive,2022-07-21,1,No,182
R-000404,Product-E8,Home,4,positive,2023-03-26,33,Yes,285
R-000405,Product-E7,Software,3,neutral,2022-12-05,23,Yes,122
